domain,dataset,compressor,quality,bpp,psnr,ms-ssim
image,TouchandGo,JPEG2000,41.0,0.3555543526785714,40.06321363490322,18.546246653222827
image,TouchandGo,JPEG2000,44.0,0.631000427827381,42.72938214400952,20.663119349277814
image,TouchandGo,JPEG2000,47.0,1.099586402529762,45.23857188870804,23.145088836949437
image,TouchandGo,LALIC,1.0,0.042210267792857144,35.46005849906428,15.395893157321428
image,TouchandGo,LALIC,2.0,0.055759523949999994,36.98805367724285,16.28188780519286
image,TouchandGo,LALIC,3.0,0.07385617553571429,38.429340484864284,17.216604299278572
image,TouchandGo,LALIC,4.0,0.10085029755714287,39.79899521995,18.257824032121427
image,TouchandGo,LALIC,5.0,0.1388880951,41.12250679255714,19.39608893392857
image,TouchandGo,LALIC,6.0,0.19695141377142858,42.43169621576429,20.615023945792856
image,TouchandGo,TCM,25.0,0.055,35.97,15.8751
image,TouchandGo,TCM,35.0,0.064,36.75,16.3535
image,TouchandGo,TCM,67.0,0.086,38.12,17.2929
image,TouchandGo,TCM,130.0,0.12,39.51,18.3951
image,TouchandGo,TCM,250.0,0.166,40.93,19.5048
image,TouchandGo,TCM,500.0,0.226,42.31,20.7865
image,TouchandGo,TaCo-L,1.0,0.0412820807367417,36.811816203974345,16.495301251299956
image,TouchandGo,TaCo-L,2.0,0.054056795241915104,38.338971860111336,17.384075655946333
image,TouchandGo,TaCo-L,3.0,0.0723516062299837,39.77853365289706,18.315993058431875
image,TouchandGo,TaCo-L,4.0,0.09937710751513164,41.14941393301777,19.35754216918594
image,TouchandGo,TaCo-L,5.0,0.13656986135599938,42.47685395986619,20.496341772913304
image,TouchandGo,TaCo-L,6.0,0.192265911503881,43.781131080484464,21.715550866131537
image,TouchandGo,VTM-Intra,7.0,2.7003886160714288,57.127649318082696,37.69424427649092
image,TouchandGo,VTM-Intra,12.0,1.721714174107143,53.45025332142919,33.05468077982745
image,TouchandGo,VTM-Intra,17.0,1.0502492745535714,50.384450746797725,29.328335310991672
image,TouchandGo,VTM-Intra,22.0,0.6118533110119048,47.13925897300728,25.800462025206954
image,TouchandGo,VTM-Intra,27.0,0.35744408482142853,44.021667147468584,22.59586909684741
image,TouchandGo,VTM-Intra,32.0,0.21328962053571424,41.33368351490253,20.088127150288166
image,TouchandGo,VTM-Intra,37.0,0.12634328497023806,38.50424820374157,17.80348266709996
image,TouchandGo,VTM-Intra,42.0,0.07515277157738091,35.500295810096034,15.736206591983718
image,TouchandGo,VTM-Intra,47.0,0.04533214285714282,32.31714528836985,13.649898513435335
image,TouchandGo,VTM-SCC,7.0,2.8035559895833333,57.45159137873355,38.02912417032785
image,TouchandGo,VTM-SCC,12.0,1.797212853422619,53.61727558783939,33.215839125931865
image,TouchandGo,VTM-SCC,17.0,1.0975837425595238,50.49904453053029,29.434748035003178
image,TouchandGo,VTM-SCC,22.0,0.6480366071428572,47.42075615523209,26.016763237631483
image,TouchandGo,VTM-SCC,27.0,0.3797672619047619,44.30442089169074,22.749337857918412
image,TouchandGo,VTM-SCC,32.0,0.22588753720238092,41.636700798731155,20.170612494224617
image,TouchandGo,VTM-SCC,37.0,0.13336417410714282,38.89752333103619,17.88887864082651
image,TouchandGo,VTM-SCC,42.0,0.07975721726190473,36.10682363060828,15.90970167419942
image,TouchandGo,VTM-SCC,47.0,0.04810757068452377,33.185252608642124,14.008588363925545
