domain,dataset,compressor,quality,bpp,psnr,ms-ssim
image,ObjTac,LALIC,1.0,0.07256137980392156,34.66191848116615,14.313037177107523
image,ObjTac,LALIC,2.0,0.09743764294117647,36.167720526146546,15.813873735528517
image,ObjTac,LALIC,3.0,0.12773749764705883,37.43766827296433,17.226611694750016
image,ObjTac,LALIC,4.0,0.18743271490196078,38.97030374038484,18.830853908789702
image,ObjTac,LALIC,5.0,0.25953758803921567,40.35863314841068,20.293410328805837
image,ObjTac,LALIC,6.0,0.36690642333333334,41.673058207203916,21.896012749577494
image,ObjTac,TCM,25.0,0.089,32.82,12.453
image,ObjTac,TCM,35.0,0.107,33.5,13.1626
image,ObjTac,TCM,67.0,0.149,34.74,14.6346
image,ObjTac,TCM,130.0,0.23,35.55,15.6401
image,ObjTac,TCM,250.0,0.328,37.16,17.6085
image,ObjTac,TCM,500.0,0.437,39.32,20.0079
image,ObjTac,TaCo-L,1.0,0.07259164726859779,35.76431002232311,15.261508946878935
image,ObjTac,TaCo-L,2.0,0.09576435940054999,37.26648845260506,16.758457041039367
image,ObjTac,TaCo-L,3.0,0.12541529510343097,38.53495385751931,18.178373730025505
image,ObjTac,TaCo-L,4.0,0.1992476745076177,40.07405450617829,19.783990695677655
image,ObjTac,TaCo-L,5.0,0.24812536741307512,41.46001879903986,21.237452963081875
image,ObjTac,TaCo-L,6.0,0.37571648610116204,42.774440263001495,22.84334069818353
image,ObjTac,VTM-Intra,12.0,1.4906028521007948,60.89744558937765,40.33942213590916
image,ObjTac,VTM-Intra,17.0,1.160078823242144,56.5122549064958,36.140977225991136
image,ObjTac,VTM-Intra,22.0,0.7888764782500649,52.104832085134994,31.73158381915714
image,ObjTac,VTM-Intra,27.0,0.5026673226344271,47.699103913067304,27.09817994229658
image,ObjTac,VTM-Intra,32.0,0.3037443335701855,43.52931928768966,22.712532878706014
image,ObjTac,VTM-Intra,37.0,0.1698148368435276,39.563834816754564,18.658874822248976
image,ObjTac,VTM-Intra,42.0,0.08864656889434337,36.230596298116154,15.302977071922115
image,ObjTac,VTM-Intra,47.0,0.044425767117369404,33.52054355729654,12.692226799467011
image,ObjTac,VTM-SCC,7.0,1.2648335632896521,67.92604305520508,48.39596147797578
image,ObjTac,VTM-SCC,12.0,1.116810090120674,63.71822399436235,44.46823742764168
image,ObjTac,VTM-SCC,17.0,0.9114902760200715,59.65991620736933,40.42659074005842
image,ObjTac,VTM-SCC,22.0,0.6583378744203137,54.78286134133028,35.42711523213889
image,ObjTac,VTM-SCC,27.0,0.431930034234197,49.728699936214596,29.849342424820296
image,ObjTac,VTM-SCC,32.0,0.2685588049030561,45.39169068019125,25.10232965683191
image,ObjTac,VTM-SCC,37.0,0.1554540390662897,40.94641722882415,20.39570357610598
image,ObjTac,VTM-SCC,42.0,0.08533048037809832,37.26315226931257,16.679159389707078
image,ObjTac,VTM-SCC,47.0,0.04522266280478176,33.821287157094844,13.057015459691106
