domain,dataset,compressor,quality,bpp,psnr,ms-ssim
image,SSVTP,JPEG-XL,12.0,0.09713257988380535,39.42216231845319,14.590327986347921
image,SSVTP,JPEG-XL,14.0,0.09183346949891064,39.08454860263049,14.337526204636038
image,SSVTP,JPEG2000,32.0,0.025123343318808975,30.822262432927293,10.10407161412404
image,SSVTP,JPEG2000,35.0,0.03170706245461144,33.68000903486116,11.880113547511153
image,SSVTP,JPEG2000,38.0,0.04965266430646329,36.47540260446453,13.725909630536565
image,SSVTP,JPEG2000,41.0,0.10063612018881622,39.60855435056083,15.707426685704775
image,SSVTP,JPEG2000,44.0,0.25282316630355844,42.67351543195622,18.209712431981906
image,SSVTP,JPEG2000,47.0,0.6826425199709514,45.69312776006926,22.04026389781788
image,SSVTP,LALIC,1.0,0.039613289803921564,37.39918297068627,13.595822266579521
image,SSVTP,LALIC,2.0,0.04502632535947713,38.63330718716776,14.323769274771243
image,SSVTP,LALIC,3.0,0.0569675925708061,39.77376993155774,15.175973225838781
image,SSVTP,LALIC,4.0,0.07699845676470587,40.875654007864924,16.005912720250546
image,SSVTP,LALIC,5.0,0.10553603855119827,42.14950541627451,17.100296233507624
image,SSVTP,LALIC,6.0,0.15028912482570805,43.274420654553374,18.397561759106754
image,SSVTP,TCM,25.0,0.044,36.89,13.7223
image,SSVTP,TCM,35.0,0.055,37.99,14.2558
image,SSVTP,TCM,67.0,0.069,39.31,15.0751
image,SSVTP,TCM,130.0,0.101,40.33,15.978
image,SSVTP,TCM,250.0,0.133,41.6,17.0659
image,SSVTP,TCM,500.0,0.189,43.2,18.4419
image,SSVTP,TaCo-L,1.0,0.0405275512490454,38.69899041369981,14.520517409199945
image,SSVTP,TaCo-L,2.0,0.04576568036848564,39.933252533093444,15.24888740527418
image,SSVTP,TaCo-L,3.0,0.0574862149280457,41.07236400408289,16.101162234947807
image,SSVTP,TaCo-L,4.0,0.07795690526746822,42.17680772126544,16.930112193651436
image,SSVTP,TaCo-L,5.0,0.10689631985839058,43.45008265955808,18.02478997814322
image,SSVTP,TaCo-L,6.0,0.15134966759197432,44.574478693755474,19.323740438322027
image,SSVTP,VTM-Intra,12.0,1.6083654457153231,52.396494522864415,31.210551485389505
